Keyword,Volume,Difficulty,CPC,Intent,Assigned Page URL,Page Type,Gap,Priority,Cluster,SERP Features Est.,Notes
dime all in one,Medium,Medium,Medium,Commercial,/shop/vapes/disposables,Landing,Y,High,Disposables,,
dime disposable vape,Medium,Medium,High,Commercial,/shop/vapes/disposables,Landing,N,High,Disposables,, | Disposables landing + cart-vs-disposable
dime industries vapes,170,23,0,Commercial,/shop/vapes,Category,Partial,High,Vapes,,Semrush
dime industries live reserve,Medium,Medium,Medium,Commercial,/shop/vapes/live-reserve,Line,Partial,High,Live Reserve,PAA,Needs stronger on-page explainer
live reserve dime,Medium,Medium,Medium,Commercial,/shop/vapes/live-reserve,Line,Partial,High,Live Reserve,,
dime live resin,70,5,0,Commercial,/shop/vapes/live-reserve,Line,Partial,Medium,Live Reserve,,Semrush
dime industries rosin,320,10,0,Commercial,/shop/vapes/rosin,Line,N,High,Rosin,,Semrush — deepen hub + what-is-dime-rosin blog | Rosin hub + what-is-dime-rosin published
dime flavors,210,8,0,Informational,/blog/best-dime-industries-flavors,Blog,N,High,Flavors GEO,,Semrush — calendar 2026-08-05 | Flavors blog published
dime cart flavors,110,7,0,Informational,/blog/best-dime-industries-flavors,Blog,N,High,Flavors GEO,,Semrush
dime weed,720,29,0,Commercial,/shop/vapes,Category,Partial,High,Carts,,Semrush | Covered via carts hub + beginners; still brand slang
key lime pie strain,2900,8,0,Informational,/product/key-lime-pie,Product,N,High,Strain PDP,AI Overview,Semrush — optimize PDP meta
king louis xiii strain,3600,17,0,Commercial,/product/king-louis-xiii,Product,N,High,Strain PDP,,Semrush
birthday cake strain,4400,26,3.77,Informational,/product/birthday-cake,Product,N,High,Strain PDP,AI Overview,Semrush
blackberry og,720,6,0,Commercial,/product/blackberry-og,Product,N,High,Strain PDP,,Semrush
sour grapes strain,1300,12,0,Informational,/product/sour-grape,Product,N,High,Strain PDP,,Semrush
mango diesel strain,390,6,0,Informational,/product/mango-diesel,Product,N,Medium,Strain PDP,,Semrush
dime industries flower,210,11,0,Commercial,/shop,Category,Partial,Medium,Flower,,Semrush — do not invent flower catalog | Soft flower path via /shop + prerolls; no invented SKUs
dime industries pre-roll,210,7,0,Commercial,/shop/prerolls,Category,Partial,Medium,Prerolls,,Semrush | Prerolls hub + buying guide deepened
dime industries vapes deals,260,12,0,Commercial,/promotions,Marketing,Partial,Medium,Promotions,AI Overview,Semrush
dime industries disposable,320,18,1.95,Commercial,/shop/vapes/disposables,Landing,Y,High,Disposables,,Semrush
dime thc las vegas,480,3,0,Local,/locations/nevada,Location,N,High,Local,,Semrush | Nevada/LV local depth 2026-08-04
dime rosin vape,Medium,Medium,Medium,Commercial,/shop/vapes/rosin,Line,Partial,High,Rosin,,
dime industries rosin edibles,Low-Medium,Low,Low,Commercial,/shop/edibles/rosin,Line,N,Medium,Rosin,, | Rosin hub + what-is-dime-rosin published
dime signature,Medium,Medium,Low,Commercial,/shop/vapes/signature,Line,Partial,High,Signature,,
dime signature line,Medium,Low,Low,Commercial,/shop/vapes/signature,Line,Partial,Medium,Signature,,
dime balanced,Low-Medium,Low,Low,Commercial,/shop/vapes/balanced,Line,Partial,Medium,Balanced,,
dime state exclusive,Low-Medium,Low,Low,Commercial,/shop/vapes/state-exclusive,Line,Partial,Medium,State Exclusive,,
dime industries edibles,Medium,Medium,Medium,Commercial,/shop/edibles,Category,Partial,Medium,Edibles,,
dime industries prerolls,Medium,Medium,Medium,Commercial,/shop/prerolls,Category,Partial,Medium,Prerolls,, | Prerolls hub + buying guide deepened
dimepack,Low-Medium,Low,Low,Commercial,/shop/prerolls,Category,N,Medium,Prerolls,,Existing blog support
dime battery,Medium,Medium,Medium,Commercial,/shop/accessories,Category,Partial,Medium,Hardware,,
dime 5th gen battery,Low,Low,Low,Commercial,/shop/accessories,Category,Partial,Low,Hardware,,
find dime near me,Medium,Medium,Low,Local,/locations,Location,N,High,Local,"Local Pack, Maps",
dime industries near me,110,20,2.05,Local,/locations,Location,Partial,High,Local,Local Pack,Semrush
dime carts near me,Medium,Medium,Medium,Local,/locations,Location,N,High,Local,Local Pack,
dime sum carts near me,Low,Low,Low,Local,/locations,Location,N,Low,Local,,Typo variant
dim sum cart,Low,Low,Low,Commercial,/shop/vapes,Category,N,Low,Carts,,Misspelling — no food page
dim sum carts,Low,Low,Low,Commercial,/shop/vapes,Category,N,Low,Carts,,Misspelling
dime industries california,Medium,Medium,Medium,Local,/locations/california,Location,Partial,High,Local,,Enrich unique state copy
dime industries los angeles,Medium,Medium,Medium,Local,/locations/california,Location,Partial,Medium,Local,,
dime carts california,Medium,Medium-High,High,Local,/locations/california,Location,N,High,Local,,
dime industries massachusetts,Low-Medium,Low,Low,Local,/locations/massachusetts,Location,Partial,Medium,Local,,
dime industries arizona,Low-Medium,Low,Low,Local,/locations/arizona,Location,Partial,Medium,Local,,
dime industries oklahoma,Low-Medium,Low,Low,Local,/locations/oklahoma,Location,Partial,Medium,Local,,
dime industries nevada,Low,Low,Low,Local,/locations/nevada,Location,Partial,Low,Local,,
dime industries new york,Low-Medium,Low,Low,Local,/locations/new-york,Location,Partial,Medium,Local,,
dime industries new jersey,Low,Low,Low,Local,/locations/new-jersey,Location,Partial,Low,Local,,
dime industries new mexico,Low,Low,Low,Local,/locations/new-mexico,Location,Partial,Low,Local,,
dime industries montana,Low,Low,Low,Local,/locations/montana,Location,Partial,Low,Local,,
what is a dime cart,Medium,Low,Low,Informational,/blog/what-is-a-dime-cart,Blog,N,High,Carts GEO,"PAA, Featured Snippet",Shipped 2026-08-03
what is dime industries,Medium,Low,Low,Informational,/about,About,N,Medium,Brand GEO,PAA,
what is dime live reserve,Medium,Low,Low,Informational,/blog/dime-live-reserve-explained,Blog,N,High,Live Reserve GEO,PAA,Shipped 2026-08-03
what is dime rosin,Low-Medium,Low,Low,Informational,/blog/what-is-dime-rosin,Blog,N,Medium,Rosin GEO,,Published 2026-08-04
what is in a dime cartridge,Medium,Low,Low,Informational,/blog/what-is-in-a-dime-cartridge,Blog,N,High,Trust GEO,PAA,Published 2026-08-04
dime cart vs disposable,Medium,Low,Low,Informational,/blog/dime-cart-vs-disposable,Blog,N,High,Compare GEO,PAA,Shipped 2026-08-03
signature vs live reserve,Medium,Low,Low,Informational,/blog/signature-vs-live-reserve,Blog,N,High,Compare GEO,PAA,Shipped 2026-08-03
live resin vs live reserve,Medium,Low,Low,Informational,/blog/signature-vs-live-reserve,Blog,N,High,Compare GEO,PAA,Shipped 2026-08-03
live resin vs live rosin,Medium,Medium,Low,Informational,/blog/live-resin-vs-live-rosin,Blog,N,Medium,Compare GEO,Published 2026-08-04
how to use a dime cart,Medium,Low,Low,Informational,/blog/how-to-use-a-dime-cart,Blog,N,Medium,HowTo GEO,HowTo rich result,Shipped 2026-08-03
how to validate dime product,Medium,Low,Low,Informational,/validate,Tool,N,High,Trust GEO,,
how to find dime near me,Low-Medium,Low,Low,Local,/locations,Location,N,Medium,Local GEO,,
how to stop dime cart leaking,Medium,Low,Low,Informational,/blog/built-to-beat-leaks-the-dime-hardware-story,Blog,N,High,Trust GEO,PAA,Link FAQ
are dime carts real,Medium,Low,Low,Informational,/validate,Tool,N,High,Trust GEO,PAA,
how to spot fake dime carts,Medium,Low,Low,Informational,/blog/how-to-spot-fake-dime-carts,Blog,N,High,Trust GEO,PAA,Shipped 2026-08-03
dime industries coa,Medium,Low,Low,Informational,/lab-results,Tool,N,High,Trust,,
dime industries lab results,Medium,Low,Low,Informational,/lab-results,Tool,N,High,Trust,,
is dime industries legit,Medium,Low,Low,Informational,/about,About,Partial,Medium,Trust,,
are dime carts worth it,Medium,Low,Low,Informational,/blog/are-dime-carts-worth-it,Blog,N,Medium,Carts GEO,Published 2026-08-04
best dime industries flavors,210,8,0,Informational,/blog/best-dime-industries-flavors,Blog,N,High,Flavors GEO,Published 2026-08-04
dime cart flavors,Medium,Medium,Low,Commercial,/shop/vapes,Category,N,Medium,Carts,,
dime industries thc percentage,Medium,Low,Low,Informational,/lab-results,Tool,Partial,Medium,Trust,,
dime battery not charging,Low-Medium,Low,Low,Informational,/faq,FAQ,Partial,Low,Support,,
where to buy dime carts,Medium,Medium,High,Transactional,/locations,Location,N,High,Local,,Shop + Find DIME
how many dimes in a roll,High,Low,Low,Informational,/blog/how-many-dimes-in-a-roll,Blog,N,High,Coin GEO,"Featured Snippet, PAA, AI Overview",CRITICAL: correct to 50/$5
how much is a roll of dimes,High,Low,Low,Informational,/blog/how-many-dimes-in-a-roll,Blog,N,High,Coin GEO,Featured Snippet,
dimes in a coin roll,Medium,Low,Low,Informational,/blog/how-many-dimes-in-a-roll,Blog,N,Medium,Coin GEO,,
live resin,High,High,Medium,Informational,/shop/vapes/live-reserve,Line,Partial,Low,LSI,,Category term — don't overbid
live rosin,High,High,Medium,Informational,/shop/vapes/rosin,Line,Partial,Low,LSI,,
solventless cart,Medium,Medium,Medium,Commercial,/shop/vapes/rosin,Line,Partial,Medium,LSI,,
melted diamonds vape,Low-Medium,Medium,Medium,Commercial,/shop/vapes/live-reserve,Line,Partial,Medium,LSI,,
high terpene extract cart,Low,Medium,Low,Informational,/shop/vapes/live-reserve,Line,Partial,Low,LSI,,
510 thread cartridge,High,High,Medium,Commercial,/shop/vapes,Category,Partial,Low,LSI,,Generic — brand-qualify only
lab tested vape carts,Medium,Medium,Low,Informational,/lab-results,Tool,Partial,Low,LSI,,
certificate of analysis cannabis,Medium,Medium,Low,Informational,/lab-results,Tool,Partial,Low,LSI,,
anti leak vape cart,Low-Medium,Low,Low,Informational,/blog/built-to-beat-leaks-the-dime-hardware-story,Blog,N,Medium,LSI,,
ceramic heating vape cart,Low,Low,Low,Informational,/blog/built-to-beat-leaks-the-dime-hardware-story,Blog,Partial,Low,LSI,,
dime industries rewards,Low-Medium,Low,Low,Navigational,/rewards,Marketing,N,Medium,Brand,,
dime industries validate,Low-Medium,Low,Low,Navigational,/validate,Tool,N,High,Trust,,
dime industries wholesale,Low,Low,Low,Commercial,/wholesale,Landing,N,Medium,B2B,,
dime vs jetty,Low-Medium,Medium,Low,Informational,/blog/dime-vs-jetty,Blog,Y,Low,Compare,,"Defer — competitive/comparison sensitivity"
dime vs raw garden,Low-Medium,Medium,Low,Informational,/blog/dime-vs-raw-garden,Blog,Y,Low,Compare,,Defer
buy thc vapes online,High,High,High,Transactional,/,Homepage,Partial,Medium,Category,,Compete carefully; age-gate + compliance
thc gummies online,High,High,High,Transactional,/shop/edibles,Category,Partial,Low,Category,,Generic competitive
does dime cart need a battery,Low-Medium,Low,Low,Informational,/blog/dime-cart-vs-disposable,Blog,N,Medium,HowTo GEO,,
what battery for dime cart,Low-Medium,Low,Low,Informational,/shop/accessories,Category,N,Medium,Hardware GEO,,
dime cart voltage settings,Low,Low,Low,Informational,/faq,FAQ,N,Low,Support,,
dime industries orange county,Low-Medium,Low,Low,Local,/locations/california,Location,Partial,Medium,Local,,
dime industries san diego,Low-Medium,Low,Low,Local,/locations/california,Location,Partial,Medium,Local,,
dime industries boston,Low,Low,Low,Local,/locations/massachusetts,Location,Partial,Low,Local,,
dime industries phoenix,Low,Low,Low,Local,/locations/arizona,Location,Partial,Low,Local,,
dime industries las vegas,Low,Low,Low,Local,/locations/nevada,Location,N,Low,Local,, | Nevada/LV local depth 2026-08-04
is dime live reserve live resin,Medium,Low,Low,Informational,/blog/dime-live-reserve-explained,Blog,N,High,Live Reserve GEO,PAA,Shipped 2026-08-03
dime industries solventless,Low-Medium,Low,Low,Commercial,/shop/vapes/rosin,Line,Partial,Medium,Rosin,,
dime industries diamonds,Low-Medium,Low,Low,Commercial,/shop/vapes/live-reserve,Line,Partial,Medium,Live Reserve,,
dime cart leftover oil,Low-Medium,Low,Low,Informational,/blog/built-to-beat-leaks-the-dime-hardware-story,Blog,N,Medium,Trust GEO,,
how to store dime cart,Low,Low,Low,Informational,/faq,FAQ,N,Low,Support,,
dime industries warranty,Low-Medium,Low,Low,Informational,/validate,Tool,Partial,Medium,Trust,,Validate activates warranty path
dime industries app,Low,Low,Low,Navigational,/app,Marketing,N,Low,Brand,,
dime industries promotions,Low-Medium,Low,Low,Commercial,/promotions,Marketing,N,Medium,Brand,,
dime industries contact,Low,Low,Low,Navigational,/contact,Marketing,N,Low,Brand,,
can i buy dime carts online,Medium,Medium,High,Transactional,/,Homepage,N,High,Transactional,,CA/MA online; else Find DIME
dime industries delivery,Medium,Medium,High,Transactional,/locations/california,Location,Partial,Medium,Local,,Only where purchasableOnline
why is my dime cart clogged,Medium,Low,Low,Informational,/blog/why-is-my-dime-cart-clogged,Blog,N,Medium,Support,PAA,Published 2026-08-04
dime industries collab,Low,Low,Low,Commercial,/shop/vapes/collabs,Line,Partial,Low,Collabs,,
dime industries black ice,Low-Medium,Low,Low,Commercial,/product/black-ice,Product,N,Medium,PDP,,Rosin PDP support
dime industries watermelon gummies,Low,Low,Low,Commercial,/product/watermelon,Product,N,Low,PDP,,
how many dimes in a $5 roll,Medium,Low,Low,Informational,/blog/how-many-dimes-in-a-roll,Blog,N,Medium,Coin GEO,,Ties to corrected 50-count answer
