Publish Date,Content Title,Content Type,Primary Keyword,Intent,Word Count Target,Status,Cluster,Assigned URL,Notes
2026-09-18,Shopping DIME prerolls (DIMEPACK & beyond),Blog Post,dime industries prerolls,Commercial,1400,Planned,Prerolls,/blog/dime-prerolls-buying-guide,Update when SKUs live
2026-09-23,How to read a DIME COA,Blog Post,certificate of analysis cannabis,Informational,1400,Planned,Trust GEO,/blog/how-to-read-a-dime-coa,Cluster with how-we-publish-coas
2026-09-25,DIME warranty & Validate explained,Blog Post,dime industries warranty,Informational,1200,Planned,Trust GEO,/blog/dime-warranty-and-validate,
2026-09-30,Beginner’s guide to Dime carts (pillar),Pillar Page,dime cart,Informational,3000,Planned,Carts GEO,/blog/beginners-guide-to-dime-carts,Definitive guide; link all cart clusters
2026-10-02,What battery for a Dime cart?,Blog Post,what battery for dime cart,Informational,1200,Planned,Hardware GEO,/blog/what-battery-for-dime-cart,
2026-10-07,DIME Balanced line explained,Blog Post,dime balanced,Commercial,1100,Planned,Balanced,/blog/dime-balanced-explained,
2026-10-09,State Exclusive flavors guide,Blog Post,dime state exclusive,Commercial,1400,Planned,State Exclusive,/blog/dime-state-exclusive-guide,
2026-10-14,Can I buy Dime carts online? (CA & MA),Blog Post,can i buy dime carts online,Transactional,1200,Planned,Transactional,/blog/buy-dime-carts-online,Compliance; jurisdictions
2026-10-16,DIME delivery in California,Landing Page,dime industries delivery,Transactional,900,Planned,Local,/locations/california#delivery,Enrich state page section
2026-10-21,DIME delivery in Massachusetts,Landing Page,dime industries massachusetts,Transactional,900,Planned,Local,/locations/massachusetts#delivery,Enrich state page section
2026-10-23,DIME Rewards explained,Blog Post,dime industries rewards,Navigational,1100,Planned,Brand,/blog/dime-rewards-explained,
2026-10-28,FAQ expansion: voltage settings & leftover oil,FAQ,dime cart voltage settings,Informational,600,Planned,Support,/faq,CMS FAQ entries not new URL
2026-10-30,Glossary refresh — new line terms,Navigational,dime industries glossary,Navigational,400,Planned,GEO,/glossary,Add Balanced Collabs terms
2026-11-04,Accessories & hardware shopper guide,Blog Post,dime battery,Commercial,1400,Planned,Hardware,/blog/dime-hardware-accessories-guide,
2026-11-06,Lab-tested carts: what “lab tested” means at DIME,Blog Post,lab tested vape carts,Informational,1300,Planned,Trust GEO,/blog/lab-tested-dime-carts,
2026-11-11,Where to buy Dime carts (licensed only),Blog Post,where to buy dime carts,Transactional,1200,Planned,Local,/blog/where-to-buy-dime-carts,Link Find DIME
2026-11-13,Orange County & LA — finding DIME,Blog Post,dime industries los angeles,Local,1100,Planned,Local,/blog/find-dime-los-angeles-orange-county,Support CA location page
2026-11-18,Phoenix & Arizona State Exclusives,Blog Post,dime industries phoenix,Local,1100,Planned,Local,/blog/find-dime-phoenix-arizona,
2026-11-20,Promotions & how to shop deals safely,Blog Post,dime industries promotions,Commercial,1000,Planned,Brand,/blog/dime-promotions-safe-shopping,Anti-fake angle
2026-11-25,Quarterly content refresh — top 5 posts,Refresh,—,Informational,N/A,Planned,Ops,Multiple URLs,Update dates + stats; Section 3 freshness
2026-11-27,90-day retrospective & Q1 backlog,Navigational,—,Navigational,N/A,Planned,Ops,docs/seo/,Internal only
