Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
key lime pie strain,3,3,2900,8,0.00,https://dimeindustries.com/products/vapes/signature-line/key-lime-pie/,69,0.34,0.00,0.33,104,"29, 29, 29, 24, 24, 29, 36, 29, 29, 29, 29, 36",2026-07-28,"Reviews, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
king louis xiii strain,9,20,3600,17,0.00,https://dimeindustries.com/products/vapes/live-reserve-line/king-louis-xiii/,68,0.34,0.00,0.33,167,"65, 65, 65, 65, 81, 81, 81, 100, 81, 81, 100, 100",2026-08-02,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",commercial,Organic
dime industries vape,1,1,260,11,0.00,https://dimeindustries.com/products/vapes/,64,0.32,0.00,0,168,"0, 0, 100, 0, 1, 0, 0, 0, 0, 0, 7, 13",2026-07-03,"Sitelinks, Video, Video Carousel, People also ask, Related searches","informational, transactional",Organic
dime thc las vegas,2,2,480,3,0.00,https://dimeindustries.com/locations/nevada/,63,0.31,0.00,0,91,"100, 0, 0, 0",2026-07-22,"Sitelinks, Related searches",commercial,Organic
sour grapes strain,3,3,1300,12,0.00,https://dimeindustries.com/products/vapes/signature-line/sour-grape/,57,0.28,0.00,0.33,113,"36, 36, 36, 36, 36, 44, 36, 36, 36, 27, 36, 36",2026-07-03,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
dime carts disposable,1,1,70,12,0.00,https://dimeindustries.com/,56,0.28,0.00,0.02,169,"0, 0, 4, 4, 0, 4, 4, 3, 3, 2, 2, 2",2026-06-21,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
dime industries watermelon kush,1,1,70,6,0.00,https://dimeindustries.com/products/vapes/signature-line/watermelon-kush/,56,0.28,0.00,0.02,161,"14, 50, 64, 100, 64, 50, 35, 50, 50, 50, 50, 50",2026-06-18,"Reviews, Video, People also ask, Related searches",informational,Organic
dime industrys,1,1,70,26,3.00,https://dimeindustries.com/,56,0.28,168.00,0.33,0,"0, 0, 0, 0, 0, 100, 1, 0, 0, 0, 0, 0",2026-07-18,"Sitelinks, People also ask, Related searches",navigational,Organic
dime live resin,1,1,70,5,0.00,https://dimeindustries.com/,56,0.28,0.00,0.33,159,"18, 18, 100, 45, 63, 63, 81, 81, 63, 63, 63, 100",2026-07-12,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
dimes cart,1,1,70,10,1.92,https://dimeindustries.com/,56,0.28,107.00,0.01,171,"0, 0, 0, 5, 82, 64, 82, 17, 64, 82, 29, 100",2026-06-27,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, navigational",Organic
dime industries pre-roll,1,1,210,7,0.00,https://dimeindustries.com/,52,0.26,0.00,0,168,"53, 65, 80, 80, 100, 80, 80, 80, 19, 80, 80, 100",2026-06-27,"Sitelinks, Video, Related searches, AI overview",informational,Organic
dime 2g,2,2,390,5,2.33,https://dimeindustries.com/,51,0.25,118.00,0.02,147,"23, 28, 66, 28, 44, 66, 66, 66, 81, 66, 100, 100",2026-07-14,"Sitelinks, Video, People also ask, Popular products, Related searches, AI overview",commercial,Organic
watermelon kush strain,3,3,720,18,0.00,https://dimeindustries.com/products/vapes/signature-line/watermelon-kush/,46,0.23,0.00,0,108,"30, 30, 30, 30, 30, 30, 24, 24, 24, 24, 30, 30",2026-06-28,"Reviews, People also ask, Related searches",commercial,Organic
watermelon og,5,5,1300,6,3.85,https://dimeindustries.com/products/vapes/live-reserve-line/watermelon-og/,45,0.22,173.00,0.01,152,"100, 100, 100, 84, 84, 84, 68, 52, 37, 37, 31, 25",2026-06-09,"Image pack, Video, People also ask, Related searches",informational,Organic
grape sour strain,4,4,1000,8,0.00,https://dimeindustries.com/products/vapes/signature-line/sour-grape/,44,0.22,0.00,0.33,116,"81, 100, 6, 45, 81, 81, 100, 81, 62, 62, 62, 81",2026-07-06,"Sitelinks, Reviews, Video, People also ask, Related searches",commercial,Organic
dime industries vapes blue diamond,1,1,50,12,0.00,https://dimeindustries.com/products/vapes/,40,0.2,0.00,0,168,"18, 27, 36, 100, 45, 45, 36, 45, 81, 27, 18, 18",2026-06-14,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview","informational, navigational",Organic
dime cannabis,1,1,50,24,0.00,https://dimeindustries.com/,40,0.2,0.00,0,172,"0, 0, 0, 1, 0, 0, 1, 1, 5, 3, 2, 5",2026-07-16,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
dimes weed,1,1,50,7,0.00,https://dimeindustries.com/,40,0.2,0.00,0.33,161,"20, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4",2026-07-21,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
dime yart,1,1,50,11,1.92,https://dimeindustries.com/,40,0.2,76.00,0.01,174,"0, 0, 0, 0, 0, 4, 4, 66, 66, 4, 42, 100",2026-07-20,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
dime wax,1,1,50,23,1.87,https://dimeindustries.com/,40,0.2,74.00,0.03,150,"18, 18, 18, 18, 18, 18, 18, 18, 100, 18, 100, 100",2026-07-12,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches","navigational, transactional",Organic
peach kush strain,1,1,590,7,0.00,https://dimeindustries.com/products/vapes/signature-line/peach-kush/,38,0.19,0.00,0.33,115,"54, 54, 66, 81, 100, 100, 100, 100, 100, 81, 66, 66",2026-06-21,"Reviews, Video, People also ask, Related searches",commercial,People also ask
dime industries flower specials,1,1,320,9,0.00,https://dimeindustries.com/locations/massachusetts/,35,0.17,0.00,0,177,"23, 44, 44, 81, 66, 44, 35, 44, 54, 28, 44, 100",2026-06-23,"Sitelinks, People also ask, Related searches, AI overview","commercial, informational",AI overview
dime vape,1,1,140,9,0.00,https://dimeindustries.com/products/vapes/,34,0.17,0.00,0,184,"2, 20, 5, 1, 1, 2, 2, 2, 2, 2, 13, 20",2026-06-19,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
dime industries vape,2,2,260,11,0.00,https://dimeindustries.com/,34,0.17,0.00,0,168,"0, 0, 100, 0, 1, 0, 0, 0, 0, 0, 7, 13",2026-07-03,"Sitelinks, Video, Video Carousel, People also ask, Related searches","informational, transactional",Organic
dime 2g disposable,2,2,260,9,2.18,https://dimeindustries.com/,34,0.17,74.00,0.03,10,"54, 43, 43, 29, 35, 54, 54, 66, 66, 66, 81, 100",2026-07-22,"Image pack, Sitelinks, People also ask, Related searches",commercial,Organic
dimes pen,1,1,140,11,2.20,https://dimeindustries.com/,34,0.17,74.00,0.01,153,"0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 1, 8",2026-07-07,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Popular products, Related searches","commercial, navigational",Organic
www dime industries,1,1,40,29,0.00,https://dimeindustries.com/,32,0.16,0.00,0.01,112,"11, 11, 11, 11, 11, 64, 64, 11, 11, 11, 11, 11",2026-06-12,"Sitelinks, Video, People also ask, Related searches","commercial, navigational",Organic
dime disposable pink rose,1,1,40,8,0.00,https://dimeindustries.com/products/vapes/signature-line/pink-rose/,32,0.16,0.00,0.01,300000,"28, 50, 100, 50, 14, 28, 14, 14, 14, 14, 14, 14",2026-06-23,"Image pack, Sitelinks, Reviews, Image, People also ask, Related searches",informational,Organic
dime industries cartridges blue diamond,1,1,40,12,0.00,https://dimeindustries.com/,32,0.16,0.00,0,150,"0, 14, 14, 14, 21, 28, 28, 28, 100, 50, 21, 50",2026-06-22,"Reviews, People also ask, Related searches",informational,Organic
dime industries pre-roll near me,1,1,40,18,0.00,https://dimeindustries.com/locations/massachusetts/,32,0.16,0.00,0,52,"14, 28, 42, 57, 57, 42, 71, 100, 57, 71, 100, 71",2026-07-17,"Local pack, Reviews, People also ask, Related searches","navigational, transactional",Organic
www.dimeindustries,1,1,40,13,0.00,https://dimeindustries.com/,32,0.16,0.00,0.02,88,"0, 0, 17, 0, 0, 5, 0, 0, 0, 100, 0, 0",2026-07-20,"Sitelinks, Video",navigational,Organic
dime industries wedding cake,1,1,40,7,0.00,https://dimeindustries.com/products/vapes/signature-line/wedding-cake/,32,0.16,0.00,0.33,166,"21, 12, 9, 6, 6, 12, 15, 15, 9, 9, 9, 9",2026-07-30,"Image pack, Reviews, People also ask, Related searches, AI overview",informational,Organic
dime industries products,1,1,40,14,0.00,https://dimeindustries.com/products/,32,0.16,0.00,0.33,158,"14, 14, 14, 100, 28, 14, 64, 28, 14, 14, 14, 14",2026-07-13,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
dime industries price,1,1,40,29,0.00,https://dimeindustries.com/,32,0.16,0.00,0.06,141,"100, 100, 100, 18, 18, 18, 18, 18, 18, 18, 18, 18",2026-07-09,"Sitelinks, People also ask, Popular products, Related searches","commercial, navigational",Organic
vape pina colada,3,3,720,5,0.00,https://dimeindustries.com/products/vapes/signature-line/pina-colada/,31,0.15,0.00,0.33,168,"1, 1, 1, 2, 2, 81, 100, 62, 81, 62, 81, 100",2026-07-11,"Image pack, Video, People also ask, Related searches",informational,Organic
banana vape,6,6,1300,8,0.00,https://dimeindustries.com/products/vapes/signature-line/banana-punch/,31,0.15,0.00,0.11,164,"24, 24, 27, 27, 24, 36, 36, 36, 24, 100, 24, 27",2026-07-18,"Knowledge panel, Image pack, Video, People also ask, Related searches","informational, transactional",Organic
piña colada vape,3,3,720,3,0.00,https://dimeindustries.com/products/vapes/signature-line/pina-colada/,31,0.15,0.00,0.33,109,"6, 6, 8, 6, 5, 5, 81, 100, 62, 81, 62, 81",2026-06-14,"Image pack, Video, People also ask, Related searches",informational,Organic
dime thc las vegas,4,4,480,3,0.00,https://dimeindustries.com/locations/,31,0.15,0.00,0,91,"100, 0, 0, 0",2026-07-22,"Sitelinks, Related searches",commercial,Organic
bombsicle,3,3,720,8,0.00,https://dimeindustries.com/products/vapes/state-exclusive/bombsicle/,31,0.15,0.00,0.33,112,"48, 100, 88, 72, 72, 72, 48, 59, 72, 48, 59, 100",2026-06-28,"Sitelinks, Reviews, People also ask, Related searches, AI overview",informational,Organic
vapes pink,8,8,1600,15,0.00,https://dimeindustries.com/products/vapes/signature-line/pink-rose/,30,0.15,0.00,0.33,158,"1, 0, 1, 0, 66, 66, 80, 66, 52, 66, 80, 100",2026-06-26,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
sour grape strain,5,5,1000,10,0.00,https://dimeindustries.com/products/vapes/signature-line/sour-grape/,30,0.15,0.00,0.33,110,"44, 34, 34, 44, 34, 34, 30, 30, 34, 34, 30, 24",2026-06-15,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
dime weed pen,1,1,110,5,0.00,https://dimeindustries.com/,27,0.13,0.00,0,160,"0, 0, 0, 1, 0, 6, 1, 3, 11, 28, 66, 100",2026-07-02,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
forbidden apple strain,1,1,210,4,0.00,https://dimeindustries.com/products/vapes/signature-line/forbidden-apple/,27,0.13,0.00,0,110,"4, 5, 11, 16, 11, 8, 8, 8, 13, 8, 8, 11",2026-06-28,"Reviews, People also ask, Related searches, AI overview",informational,Organic
pink rose dime,1,1,110,1,0.00,https://dimeindustries.com/products/vapes/signature-line/pink-rose/,27,0.13,0.00,0.33,170,"64, 82, 52, 64, 41, 100, 64, 52, 82, 100, 64, 82",2026-06-18,"Image pack, Reviews, Image, People also ask, Related searches",informational,Organic
dime cart flavors,1,1,110,7,0.00,https://dimeindustries.com/products/vapes/,27,0.13,0.00,0.33,162,"34, 34, 6, 28, 34, 34, 34, 34, 43, 43, 34, 34",2026-06-21,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
blackberry og strain,2,2,320,5,0.00,https://dimeindustries.com/products/vapes/signature-line/blackberry-og/,26,0.13,0.00,0.33,116,"24, 20, 30, 30, 30, 24, 30, 24, 24, 30, 24, 30",2026-06-15,"Image pack, Reviews, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
banana punch,4,4,590,19,0.00,https://dimeindustries.com/products/vapes/signature-line/banana-punch/,25,0.12,0.00,0.33,183,"30, 30, 30, 24, 24, 20, 24, 24, 16, 20, 20, 20",2026-07-24,"Reviews, Video, Video Carousel, People also ask, Recipes, Popular products, Related searches, AI overview",informational,Organic
dime pens near me,1,1,30,16,2.13,https://dimeindustries.com/locations/,24,0.12,51.00,0.06,160,"14, 14, 14, 14, 14, 14, 14, 14, 100, 21, 14, 14",2026-06-24,"Knowledge panel, Sitelinks, Reviews, Image, Related searches","navigational, transactional",Organic
dime disposable 2 gram,1,1,30,11,2.20,https://dimeindustries.com/,24,0.12,52.00,0.07,137,"0, 0, 7, 7, 78, 21, 14, 100, 14, 14, 14, 21",2026-07-21,"Sitelinks, Video, People also ask, Related searches",informational,Organic
dime battery,2,2,590,3,0.00,https://dimeindustries.com/faq/,24,0.12,0.00,0.33,182,"30, 45, 45, 36, 36, 55, 45, 45, 45, 36, 45, 45",2026-07-31,"Video, Image, People also ask, Popular products, Related searches, AI overview",commercial,People also ask
dime disposable flavors,1,1,90,5,1.86,https://dimeindustries.com/products/vapes/,22,0.11,40.00,0.02,165,"63, 63, 45, 63, 63, 81, 100, 81, 100, 100, 100, 100",2026-07-29,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
pink lemon haze dime,1,1,90,1,0.00,https://dimeindustries.com/products/vapes/signature-line/pink-lemon-haze/,22,0.11,0.00,0.33,123,"11, 11, 11, 11, 11, 64, 100, 82, 82, 100, 64, 82",2026-06-12,"Reviews, Video, People also ask, Related searches",informational,Organic
birthday cake strain,13,13,4400,26,3.77,https://dimeindustries.com/products/vapes/collaborations/birthday-cake/,22,0.11,82.00,0.33,114,"19, 19, 24, 24, 19, 19, 19, 19, 19, 16, 16, 16",2026-08-01,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
weed dime,1,1,170,2,0.00,https://dimeindustries.com/,22,0.11,0.00,0.33,172,"30, 20, 3, 0, 0, 0, 0, 0, 1, 0, 0, 100",2026-07-21,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
dime vape pens,1,1,90,9,0.00,https://dimeindustries.com/products/vapes/,22,0.11,0.00,0.33,182,"0, 0, 0, 0, 0, 0, 66, 100, 80, 100, 52, 100",2026-06-22,"Sitelinks, Video, Video Carousel, People also ask, Related searches",commercial,Organic
mint og strain,1,1,90,16,0.00,https://dimeindustries.com/products/vapes/balanced-line/mint-og/,22,0.11,0.00,0.33,126,"23, 19, 42, 42, 33, 52, 66, 42, 42, 42, 42, 66",2026-07-05,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
2g dimes,1,1,90,6,0.00,https://dimeindustries.com/,22,0.11,0.00,0.01,141,"0, 0, 64, 11, 11, 64, 64, 82, 11, 64, 64, 100",2026-07-09,"Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic
berry white dime,1,1,90,0,0.00,https://dimeindustries.com/products/vapes/signature-line/berry-white/,22,0.11,0.00,0.33,164,"14, 14, 78, 78, 14, 78, 78, 64, 50, 50, 64, 100",2026-06-30,"Image pack, Reviews, Video, People also ask, Related searches",informational,Organic
dime vapes,1,1,90,11,0.00,https://dimeindustries.com/products/vapes/,22,0.11,0.00,0,187,"0, 81, 0, 0, 6, 3, 6, 21, 21, 21, 65, 100",2026-06-22,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
dime watermelon kush,1,1,90,0,0.00,https://dimeindustries.com/products/vapes/signature-line/watermelon-kush/,22,0.11,0.00,0.01,173,"78, 64, 78, 78, 78, 78, 50, 64, 50, 50, 78, 78",2026-07-29,"Sitelinks, Reviews, People also ask, Related searches",informational,Organic
dime 2 gram disposable,1,1,90,5,2.83,https://dimeindustries.com/,22,0.11,62.00,0.06,143,"78, 78, 50, 50, 78, 78, 64, 50, 64, 50, 50, 50",2026-08-03,"Sitelinks, Video, People also ask, Related searches",informational,Organic
forbidden apple dime,1,1,90,0,0.00,https://dimeindustries.com/products/vapes/signature-line/forbidden-apple/,22,0.11,0.00,0.01,156,"14, 78, 78, 50, 50, 64, 64, 64, 50, 64, 100, 100",2026-08-02,"Sitelinks, Reviews, People also ask, Related searches, AI overview",informational,Organic
cantaloupe dream dime,1,1,90,1,0.00,https://dimeindustries.com/products/vapes/signature-line/cantaloupe-dream/,22,0.11,0.00,0.01,108,"64, 100, 11, 64, 11, 17, 11, 64, 64, 41, 64, 64",2026-06-18,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
grape limeade strain,2,2,170,8,0.00,https://dimeindustries.com/products/vapes/live-reserve-line/grape-limeade/,22,0.11,0.00,0.33,111,"28, 35, 43, 53, 43, 53, 43, 43, 43, 35, 43, 66",2026-07-26,"Reviews, Video, People also ask, Related searches, AI overview",commercial,Organic
dime industries pre-roll specials,2,2,260,16,0.00,https://dimeindustries.com/promotions/,21,0.1,0.00,0,141,"43, 14, 54, 54, 54, 54, 35, 54, 43, 43, 100, 54",2026-07-07,"Sitelinks, People also ask, Related searches, AI overview","commercial, informational",Organic
dime industries cartridges specials,2,2,260,8,0.00,https://dimeindustries.com/,21,0.1,0.00,0,151,"18, 10, 66, 54, 43, 43, 54, 81, 54, 43, 100, 54",2026-07-10,"Sitelinks, Related searches, AI overview","commercial, informational",Organic
dime industries flower near met,1,1,110,11,0.00,https://dimeindustries.com/about-us/,21,0.1,0.00,0,540000,"11, 7, 26, 34, 100, 80, 53, 65, 42, 34, 42",2026-06-21,"Reviews, Video, People also ask, Related searches, AI overview","informational, transactional",AI overview
vapes banana,4,4,720,5,0.00,https://dimeindustries.com/products/vapes/signature-line/banana-punch/,21,0.1,0.00,0.01,159,"0, 0, 1, 1, 0, 81, 100, 81, 81, 62, 36, 100",2026-07-11,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
dime industries cartridges deals,2,2,260,8,0.00,https://dimeindustries.com/,21,0.1,0.00,0,156,"23, 28, 35, 35, 35, 28, 35, 54, 44, 35, 100, 54",2026-07-03,"Sitelinks, Related searches, AI overview",commercial,Organic
blackberry og strain,1,1,320,5,0.00,https://dimeindustries.com/products/vapes/signature-line/blackberry-og/,21,0.1,0.00,0.33,116,"24, 20, 30, 30, 30, 24, 30, 24, 24, 30, 24, 30",2026-06-15,"Image pack, Reviews, Video, People also ask, Related searches, Discussions and forums",commercial,People also ask
dime of weed,2,2,590,14,0.00,https://dimeindustries.com/,20,0.1,0.00,0.33,102,"20, 13, 16, 20, 24, 30, 16, 24, 24, 30, 24, 30",2026-07-31,"Image pack, Sitelinks, Reviews, Video, People also ask, AI overview",informational,Organic
peach kush strain,2,2,590,7,0.00,https://dimeindustries.com/products/vapes/signature-line/peach-kush/,20,0.1,0.00,0.33,115,"54, 54, 66, 81, 100, 100, 100, 100, 100, 81, 66, 66",2026-06-21,"Reviews, Video, People also ask, Related searches",commercial,Organic
