Keyword,Position,Volume,Traffic,Legacy URL,Target www URL,Gap,Cluster
"dime industries watermelon kush",1,70,56,https://dimeindustries.com/products/vapes/signature-line/watermelon-kush/,https://www.dimeindustries.us/product/watermelon-kush,N,Strain PDP
"dime industrys",1,70,56,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime live resin",1,70,56,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes/live-reserve,Partial,Live Reserve
"dimes cart",1,70,56,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime industries pre-roll",1,210,52,https://dimeindustries.com/,https://www.dimeindustries.us/shop/prerolls,Y,Prerolls
"dime 2g",2,390,51,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"watermelon kush strain",3,720,46,https://dimeindustries.com/products/vapes/signature-line/watermelon-kush/,https://www.dimeindustries.us/product/watermelon-kush,N,Strain PDP
"watermelon og",5,1300,45,https://dimeindustries.com/products/vapes/live-reserve-line/watermelon-og/,https://www.dimeindustries.us/product/watermelon-og,N,Strain PDP
"grape sour strain",4,1000,44,https://dimeindustries.com/products/vapes/signature-line/sour-grape/,https://www.dimeindustries.us/product/sour-grape,N,Strain PDP
"dime industries vapes blue diamond",1,50,40,https://dimeindustries.com/products/vapes/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime cannabis",1,50,40,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dimes weed",1,50,40,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime yart",1,50,40,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime wax",1,50,40,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"peach kush strain",1,590,38,https://dimeindustries.com/products/vapes/signature-line/peach-kush/,https://www.dimeindustries.us/product/peach-kush,N,Strain PDP
"dime industries flower specials",1,320,35,https://dimeindustries.com/locations/massachusetts/,https://www.dimeindustries.us/promotions,Partial,Promotions
